,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,num_workers,device,trainsets,shuffle,network
0,1,1,0.4979858929912249,0.81965,5.51041841506958,6.089130640029907,0.01,1000,1,cuda,normal,True,no_batch_norm
1,2,1,0.33854562491178514,0.8746666666666667,5.359787940979004,5.944750070571899,0.01,1000,1,cuda,normal,True,batch_norm
